id;description;capacity;latitude;longitude
20;ZUFFO 2 - VIA DOS TRENTO;12;46.0752302;11.1096541
30;PIEDICASTELLO in Piazza di Piedicastello in the Andrea Hofler garden;12;46.0712112;11.1136765
6;BUS STATION via Pozzo/via Torre Vanga;22;46.0702069;11.1202145
2;TOP CENTER;24;46.0901910;11.1185129
1;BREN CENTER via Guardini;18;46.0948025;11.1176958
3;CENTRAL SQUARE;12;46.0753615;11.1238779
12;HEALTH AUTHORITY via Degasperi;18;46.0443911;11.1281965
41;ROLLING PIN - piazza Q. PERINI;6;46.0069881;11.1283729
10;SWIMMING POOL via Fogazzaro/via Gocciadoro;12;46.0562970;11.1309250
9;CENTER S. CHIARA via S. Croce;18;46.0634103;11.1238777
8;UNIVERSITY via Rosmini;18;46.0663413;11.1190042
7;LIBRARY via Torre Vanga/via Alfieri;24;46.0704419;11.1212816
4;VENICE SQUARE;24;46.0675993;11.1269921
15;MUSE Course of Work and Science;12;46.0615217;11.1157876
17;GARDOLO SPORTS CENTER via IV Novembre;12;46.1044998;11.1129066
16;VIA BEZZI corner via Vittorio Veneto;9;46.0581239;11.1193056
11;STATION FF.SS. - HOSPITAL via Gocciadoro/Staz. St. Clare;12;46.0544476;11.1355532
19;VIA MADRUZZO;10;46.0636369;11.1192767
13;LIDORNO - via Lidorno/Trento south park;8;46.0332249;11.1263373
18;VIA VANNETTI (PAT headquarters);8;46.0728196;11.1217440
21;EX ATESINA - LIDL Brenner Road;12;46.0838509;11.1195051
22;CAMPO CONI course of the Alpini;12;46.0797835;11.1176531
23;MAYER STUDENT RESIDENCE Buonarroti course;12;46.0732151;11.1180116
24;VERONA avenue Verona/Olmi street.;12;46.0493736;11.1313539
25;CLARINA intersection via Degasperi - via Anna Frank;12;46.0507920;11.1240168
26;BARBACOVI near the intersection via Barbacovi-via Brigata Acqui;12;46.0651002;11.1277283
27;GARDOLO-EX SAWMILL via Feininger/piazzale Groff;6;46.1076163;11.1119228
28;MACCANI via Maccani/Local Police Command;12;46.0906205;11.1089334
29;CANOVA in the parking lot of the sports center in via Paludi;12;46.0991384;11.1093864
38;PIEDICASTELLO EX ITALCEMENTI Lungadige S. Nicolò;12;46.0694697;11.1136801
35;PALATRENTO via Fersina/via Bartali;12;46.0404625;11.1238574
36;RONCAFORT via Caneppele;12;46.1001110;11.1018166
32;VIA MENGUZZATO at the intersection with viale Verona;12;46.0424644;11.1314502
34;S. CHIARA HOSPITAL Largo Medaglie d'Oro;9;46.0575800;11.1326958
31;FF.SS. VILLAZZANO STATION - via Asiago;12;46.0442573;11.1394494
33;GORIZIA via Gorizi/via Vicenza;12;46.0620587;11.1333258
37;VILLAZZANO CEMETERY via Valnigra;12;46.0511255;11.1448727
39;BRIDGE OF CAVALRYMEN Rovereto Avenue / Verona Avenue;6;46.0590284;11.1271663
40;STUDENT HOUSING SAN BARTOLAMEO via della Malpensada;12;46.0481983;11.1337079
